App,Star_Rating,vader_compound,vader_label,migration_source,migration_destination,migration_phrase,migration_reason_category,migration_reason_text,lda_topic_label
Claude,5,0.3867,Positive,Claude,ChatGPT,switched to,General,"I switched to Claude from ChatGPT about a week ago and I must say, the difference is ASTRONOMICAL. First off, Claude will give concise and to-the-",Platform Comparison
Claude,5,0.8106,Positive,ChatGPT,Claude,used to use,Accuracy,"The best GPT I have ever had. Most accurate results, no nonsense responses. I used to use Grok with ChatGPT or Gemini in combination usually but Claud",Platform Comparison
Claude,5,0.0,Neutral,ChatGPT,Claude,switched from,Speed,"Switched from ChatGPT to Claude today. Claude is cutting-edge, fast and resourceful.",Platform Comparison
Claude,5,0.8658,Positive,ChatGPT,Claude,switching from,Pricing,'s rare to see a company prioritize democratic values and human safety over a massive government payday. Switching from ChatGPT today to support a tea,Platform Comparison
Claude,5,0.886,Positive,ChatGPT,Claude,moved from,General,"Moved from Chat GPT 4, and I'm liking Claude better in terms of compact reporting and deeper reasoning, and it's better at inline i",Platform Comparison
Claude,5,0.7099,Positive,Claude,ChatGPT,started using,General,I have uninstalled chat GPT for their recent contract with the government and have now started using Claude. I believe San Altman should ha,Platform Comparison
Claude,5,0.9594,Positive,ChatGPT,Claude,switched from,General,the best assessment skills and a great way of explaining stuff as per the user's understanding. Recently switched from chatgpt to claude and really fe,General Satisfaction (1)
Claude,3,0.4656,Positive,Claude,ChatGPT,moved to,General,"Claude and especially Opus 4.6 is insanely good. I've been using ChatGPT Plus for about a year, but the moment I moved to Claude, the change was evide",Platform Comparison
Claude,5,0.0,Neutral,Claude,ChatGPT,will use,Privacy,I deleted my accounts on chatgpt and grok . from now i will use Claude,Platform Comparison
Claude,5,0.6124,Positive,Claude,ChatGPT,switched to,General,"I recently switched to Claude from ChatGPT and I am pleasantly surprised. I've started to use it more than ChatGPT. I think Anthropic should make ""ext",Platform Comparison
Claude,5,0.6775,Positive,ChatGPT,Claude,switched from,General,"I've only used this for a handful of days but I'm so far, impressed when comparing this to ChatGPT, which I recently switched from. I will update afte",Platform Comparison
Claude,5,0.5719,Positive,ChatGPT,Claude,switched from,General,"Excellent tool, and patriotic boot. Switched from ChatGPT and haven't looked back.",Platform Comparison
Claude,5,0.0088,Neutral,Claude,ChatGPT,switching to,General,These guys did not allow the US to use Claude for mass surveillance or auto weapons. ChatGPT did. Switching to these guys cus they aren't trying to br,Bugs & Performance
Claude,4,0.677,Positive,ChatGPT,Claude,coming from,General,"Coming from chat gpt, I wish it ""remembered"" basic things about me my life that didn't have to be repeated. I also wish it could gen",Accuracy & Quality
Claude,5,0.4404,Positive,ChatGPT,Claude,moved from,Speed,Moved from ChatGPT and haven't looked back. Much better corporate governance and less sycophantic responses,Platform Comparison
Claude,5,0.8988,Positive,ChatGPT,Claude,left,Privacy,ust use Claude as a second brain and personal companion and have found him to be a warm presence that filled in the gap chatgpt left when they made th,Bugs & Performance
Claude,4,0.8979,Positive,ChatGPT,Claude,quit,Pricing,"Hello! I saw the recent news about OpenAI and I am reconsidering to move here at Claude. I personally use OpenAI for college, but i saw the price of t",Platform Comparison
Claude,5,-0.0276,Neutral,Claude,ChatGPT,started using,General,Just started using Claude after deleting chatgpt. I'm pleasantly surprised. The answers are much clearer and concise and also less evil.,Platform Comparison
Claude,5,0.7144,Positive,ChatGPT,Claude,switched from,Coding Quality,"Switched from ChatGPT recently, as a newb to coding ... Claude has held my hand and made each process so easy! what took weeks or mont",Platform Comparison
Claude,5,0.0,Neutral,Claude,ChatGPT,started using,User Experience,I was using Chat GPT and Grok both for the last almost one year. I started using this App today only and spent hours to judge the di,Platform Comparison
Claude,5,0.0,Neutral,ChatGPT,Claude,switched from,Writing Quality,"Claude has proven invaluable for assisting in the writing of my book. having switched from ChatGPT 5.2, the difference has been incredible at least fo",General Satisfaction (1)
Claude,5,0.88,Positive,Perplexity,Claude,previously used,User Experience,A few buggy things but this app is CHANGING MY LIFE! I had previously used Perplexity and their mobile app is actually better in certain ways can tran,Platform Comparison
Claude,5,0.964,Positive,Claude,ChatGPT,started using,General,"I use ChatGPT, Gemini, DeepSeek and Perplexity. But when I started using Claude the answers were so incisive and insightful. I",Platform Comparison
Claude,5,0.8298,Positive,ChatGPT,Claude,quit,User Experience,I've only used it for a few days and it's already proven to be significantly more sophisticated than ChatGPT. I'm so glad I quite it.,Platform Comparison
Claude,4,0.2716,Positive,Claude,ChatGPT,started using,Writing Quality,s a content creator since I started using it for my text posts my earnings rate drop drastically on those posts. Unlike Chatgpt that the earning rate ,Platform Comparison
Claude,4,0.5956,Positive,Gemini,Claude,quit,User Experience,quite useful ...better info than chargpt and short replys for ppl who r too lazy to read deepseek or Gemini,Accuracy & Quality
Claude,5,0.7263,Positive,Gemini,Claude,came from,General,AWS and we house and maintain the tens of thousands of server racks running Claude so I'm a bit biased but I came from Gemini and Claude smokes it IMO,Platform Comparison
Claude,1,0.2263,Positive,ChatGPT,Claude,was using,General,"Well, I gave it a shot... I was using the voice mod and said, ""I was using ChatGPT and came to try you."" It replied, ""Hi. Actually, I'm Claude. I don'",Bugs & Performance
Claude,5,-0.0322,Neutral,Claude,ChatGPT,switched to,General,this guy helped me alot bro he's like my homeboy. you can personalize him. so good I switched to chatgpt to Claude and the difference is CRAZY. CHATGP,Platform Comparison
Claude,5,0.8586,Positive,Claude,ChatGPT,started using,General,"Only started using Claude today. I have been using ChatGPT, Gemini and Grok extensively. I'm very impressed with Claude this far. I especially like th",Platform Comparison
Claude,3,-0.8463,Negative,Claude,ChatGPT,started using,Speed,"I recently started using Claude after mostly using Gemini, ChatGPT, and Grok. I really like Claude's personality and response quality, but the Android",Platform Comparison
Claude,2,-0.4588,Negative,ChatGPT,Claude,switched from,Speed,"I love it, but... the usage limits are pathetic on pro. I have switched from chatgpt, and am enjoying Claude's responses. But I don't think I'll renew",Platform Comparison
Claude,1,-0.3167,Negative,ChatGPT,Claude,left,Pricing,"sappear entirely. After a month of paid use with Claude Code and access to Opus 4.5, I'm left disappointed. In my view, OpenAI offers better value amo",Platform Comparison
Claude,5,0.9232,Positive,Claude,ChatGPT,switched to,Accuracy,"After 3 years on ChatGPT, I've fully switched to Claude. This app makes far fewer mistakes, is better at reasoning, is realistic without",Platform Comparison
Claude,5,0.8122,Positive,ChatGPT,Claude,was using,General,"For me, it was way better than ChatGPT for what I was using it for! Definitely recommend.",Platform Comparison
Claude,3,0.9536,Positive,ChatGPT,Claude,quit,Pricing,"d for the free version. At least impose that limit when using additional files like documents, images, etc., similar to ChatGPT. Actually, for AI disc",Platform Comparison
Claude,1,-0.5499,Negative,Claude,ChatGPT,switch to,User Experience,"in circles and can't use the app. bravo devs. I'll have to uninstall it and try it on the web, or maybe just switch to ChatGPT because it doesn't have",Bugs & Performance
Claude,5,0.6597,Positive,Claude,Gemini,started using,User Experience,I just started using this app and it is much better for casual conversation style with complex ideas than Gemini. It's helping me with organizing a pl,General Satisfaction (1)
Claude,1,0.8115,Positive,ChatGPT,Claude,quit,General,mentally disabled. cant switch models midway. usage limits are quite low. just not very good compared to something like chatgpt or gemini which is fre,Bugs & Performance
Claude,5,-0.2748,Negative,Claude,ChatGPT,switched to,Accuracy,"Claude works very well, I switched to claude after chatgpt getting something wrong leading to my buildplate getting damaged. If i had used claude, tha",Platform Comparison
Claude,1,-0.0644,Negative,Claude,ChatGPT,switch to,General,"I tried to switch to Claude as an escape from ChatGPT. I had a Plus plan with the latter and was constantly provided with ""improvisations"" instead of ",Platform Comparison
Claude,5,0.0,Neutral,ChatGPT,Claude,migrated from,General,I migrated from ChatGPT when ChatGPT-5 came out. Need I say more?,Platform Comparison
Claude,4,0.9552,Positive,Claude,ChatGPT,moving to,Coding Quality,"can continue working without hitting limits. although this is great for coding and I believe this suits me better than openai or gemini, I will consid",Platform Comparison
Claude,4,0.9458,Positive,ChatGPT,Claude,switching from,Reliability,"love this! I'm planning on switching from chatgpt to claude as openai is funding military services from our prompts. the thing is, it would be great i",Bugs & Performance
Claude,5,0.3612,Positive,Claude,ChatGPT,started using,General,"I feel like I got out of a toxic relationship with ChatGPT when I started using it,,",General Satisfaction (1)
Claude,1,-0.8101,Negative,Claude,Gemini,started using,Pricing,that's why I'm leaving the negative minus 10 I started using Geminis since it came out and there's nothing compared to Gemini free or premium subscrip,Platform Comparison
Claude,5,0.6908,Positive,Claude,ChatGPT,started using,Coding Quality,"ome AI app especially for code development and validations especially Python. After started using Claude, stopped using ChatGPT and Gemini altogether.",Platform Comparison
Claude,5,0.921,Positive,ChatGPT,Claude,quit,General,"I've had with Claude AI is very good and satisfying. I recommend it for people to use , although It's quite similar to ChatGPT. I love it",Platform Comparison
Claude,5,0.2023,Positive,Claude,ChatGPT,started using,General,"I have started using Claude, along with ChatGPT, after it being recommended by an expert.",General Satisfaction (1)
Claude,5,0.8991,Positive,ChatGPT,Claude,quit,General,Claude is quite good. It definitely writes responses in better English than ChatGPT. It also seems better able to work from a previous answer.,Platform Comparison
